dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,horizon,ttm_context_len,available_context_len,finetune_success,finetune_train_num_samples,finetune_valid_num_samples,insample_error
sz_taxi/H/short,TTM-R3-PT,7.387379362634048,7.387379362634048,1.902754046909828,1.902754046909828,0.5795216991505026,1.2303767819213678,0.3022747774951419,4.455956711310502,2.7179733925544687,0.2531959938252514,0.17725328115135258,0.14028868700844177,Transport,1,48,768,648,False,0,0,0
bitbrains_fast_storage/H/short,TTM-R3-PT,2880367.6706551565,2880367.6706551565,308.76183851586717,308.76183851586717,1.057575741506285,4.202754643902962,0.6051815063284887,21.372236293557773,1697.1645973962445,4.8374703327154025,0.8800715239916402,0.6701876387247568,Web/CloudOps,2,48,768,625,False,0,0,0
bitbrains_rnd/H/short,TTM-R3-PT,1693914.6967765188,1693914.6967765188,153.62937440439583,153.62937440439583,5.892820562935453,1.6954602085839865,0.6098074691869871,198.25665726371787,1301.5047816956028,5.696022224635777,0.672357369155631,0.6035301234335193,Web/CloudOps,2,48,768,624,False,0,0,0
bizitobs_application/10S/short,TTM-R3-PT,1099881.8472413442,1099881.8472413442,517.1885260279782,517.1885260279782,1.08066504762359,0.017204998807345693,0.017405239035391065,11.310906648703433,1048.7525195399267,0.04044619269503059,0.019945894187279784,0.01657042579737924,Web/CloudOps,2,60,2048,7934,False,0,0,0
bizitobs_application/10S/medium,TTM-R3-PT,4985352.602407643,4985352.602407643,1225.3317721128174,1225.3317721128174,2.5250320994864244,0.03669875062903422,0.03767709213859303,30.06101777167829,2232.7903176088084,0.08767510427794198,0.04811517232398218,0.042511414907496804,Web/CloudOps,2,600,2048,7634,False,0,0,0
bizitobs_application/10S/long,TTM-R3-PT,6755856.512432716,6755856.512432716,1555.6473383582872,1555.6473383582872,3.2023288118677598,0.04682272947161733,0.048096340516123916,57.77434782801696,2599.2030533285997,0.10024087245536112,0.059995099740359034,0.05562747397346636,Web/CloudOps,2,900,2048,7934,False,0,0,0
bizitobs_l2c/5T/short,TTM-R3-PT,21.200832748686302,21.200832748686302,2.7119391594196562,2.7119391594196562,0.2819313734114747,0.15381281664846363,0.2110839300996377,3.33595507744606,4.604436203129141,0.15813497656668613,0.09313896783577126,0.07809626593533608,Web/CloudOps,7,48,2048,31008,False,0,0,0
bizitobs_l2c/H/short,TTM-R3-PT,58.523304387101625,58.523304387101625,4.874765746114153,4.874765746114153,0.4857334010228268,0.4385727687305414,0.6648774283171396,3.4387852982386065,7.650052574139711,0.4123574689371868,0.2627623856500594,0.2133647825961373,Web/CloudOps,7,48,2048,2376,False,0,0,0
bizitobs_l2c/5T/medium,TTM-R3-PT,64.83353239284077,64.83353239284077,5.233590260262933,5.233590260262933,0.507699589490965,0.38048756122980687,0.6393224653751135,3.6887510660258918,8.051927247115486,0.4236497819163653,0.2753638109676532,0.2211599393060698,Web/CloudOps,7,480,2048,28608,False,0,0,0
bizitobs_l2c/H/medium,TTM-R3-PT,76.85418861174827,76.85418861174827,5.308987917538618,5.308987917538618,0.543889047779985,0.5262882724758225,0.8078209456216898,3.570840731735797,8.766652075436111,0.5308340989474953,0.3214672822965381,0.2594205330255477,Web/CloudOps,7,480,2048,2184,False,0,0,0
