dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,horizon,ttm_context_len,available_context_len,finetune_success,finetune_train_num_samples,finetune_valid_num_samples,insample_error
m_dense/H/medium,TTM-R3-FT,34228.00111234567,34228.00111234567,79.2380756601029,79.2380756601029,0.6809981320533899,0.2586859926697496,0.1999273684597854,7.969373242652495,185.00811093664427,0.3218907397384218,0.13786424098138078,0.11395514734875974,Transport,1,480,2048,15600,True,69444,50000,0
kdd_cup_2018/H/short,TTM-R3-FT,4468.265058575264,4468.265058575264,22.926016422760814,22.926016422760814,0.9511514954025427,0.8250352459477921,0.5124050478601748,8.643643676970306,66.845082530993,1.3991886394580513,0.47988304467845677,0.39283423475423257,Nature,1,48,2048,8544,True,10270,1000,0
jena_weather/10T/short,TTM-R3-FT,845.7077249544147,845.7077249544147,5.788409662746542,5.788409662746542,0.2814232966715906,0.3763231592855599,0.5429840885160531,2.867935950382506,29.081054398945284,0.1806298096379301,0.035953281512591355,0.03161906602664006,Nature,21,48,2048,51744,True,1001,1000,0
bizitobs_l2c/5T/medium,TTM-R3-FT,62.75315415733436,62.75315415733436,4.97749218211823,4.97749218211823,0.49251622405290635,0.3841738214659956,0.6108864475012216,3.63359928114954,7.921688845021266,0.41679732672756337,0.261889285971905,0.21171415092724225,Web/CloudOps,7,480,2048,28608,True,4916,19662,0
jena_weather/H/short,TTM-R3-FT,1093.8050733851214,1093.8050733851214,8.404210986390748,8.404210986390748,0.5267188918441501,1.3629454889251096,0.6080715067676915,5.280429202105214,33.07272400914569,0.20273368528182661,0.051517276432562695,0.04363583082660972,Nature,21,48,2048,7872,True,942,1000,0
kdd_cup_2018/H/medium,TTM-R3-FT,5100.450806688665,5100.450806688665,25.966683553986652,25.966683553986652,1.0764636860389036,1.0325677679512497,0.578567345959345,8.817990762275812,71.41744049382241,1.4948963725461242,0.5435297146397376,0.43400649252043616,Nature,1,480,2048,8544,True,10270,1000,0
kdd_cup_2018/H/long,TTM-R3-FT,4275.615940114975,4275.615940114975,25.346802155177905,25.346802155177905,1.0555474830805018,0.9989500597076093,0.6442393708869796,8.434561303621747,65.38819419524427,1.5342712626074473,0.5947384023110762,0.47612609607600337,Nature,1,720,2048,8064,True,10270,1000,0
loop_seattle/H/short,TTM-R3-FT,59.40210268649038,59.40210268649038,4.061181139301894,4.061181139301894,0.8255705222604549,0.10755893655568186,0.09351448354587204,10.248079423431015,7.7072759575929535,0.13642663642810138,0.07188704359474336,0.060796575078909836,Transport,1,48,2048,7848,True,302715,50000,0
jena_weather/10T/medium,TTM-R3-FT,1422.415753556598,1422.415753556598,9.539352894748607,9.539352894748607,0.6173324936044513,0.835839728241122,0.654114396448736,6.061717712347308,37.71492746322864,0.23145583947157702,0.05854283915625602,0.049374566146859145,Nature,21,480,2048,47424,True,1001,1000,0
jena_weather/H/medium,TTM-R3-FT,1209.6170763473704,1209.6170763473704,9.94907115831646,9.94907115831646,0.7604462826727428,1.9061998784931564,0.6640904002734431,6.69220506279278,34.77954968580488,0.21282221663869044,0.06088012629655102,0.05036328865586549,Nature,21,480,2048,7824,True,759,1000,0
m4_daily/D/short,TTM-R3-FT,400661.09455128026,400661.09455128026,178.94298543836263,178.94298543836263,3.312859319227388,0.039769746198460486,0.0304483703669196,28.61583181686381,632.9779573976334,0.09777760663077435,0.027641747449567693,0.022269293661459508,Econ/Fin,1,14,156,93,True,504227,50000,0
m4_hourly/H/short,TTM-R3-FT,1618534.2424234408,1618534.2424234408,255.74721825753912,255.74721825753912,0.7845934754083408,0.10882656581674223,0.10436714697208149,7.660162462198314,1272.2162718749673,0.17368560238097017,0.034915140328187586,0.027510913627380392,Econ/Fin,1,48,768,700,True,1414,1000,0
jena_weather/H/long,TTM-R3-FT,1140.2340512541869,1140.2340512541869,11.368661041660278,11.368661041660278,0.9512821705466289,2.806639283026182,0.6499062972452037,9.864634186213737,33.76735185433093,0.20331689012033805,0.06845194191697178,0.05675376705840206,Nature,21,720,2048,7344,True,567,1000,0
m4_monthly/M/short,TTM-R3-FT,1885982.775682423,1885982.775682423,590.2710480284801,590.2710480284801,1.0243898322362295,0.1695773834586261,0.13681686154649333,8.931145812323843,1373.3108809306154,0.2854211408916485,0.12267858523732897,0.09895301552793888,Econ/Fin,1,18,512,42,True,49000,1000,0
